time,AGG,SPY,IAU,VNQ
2010-12-13 00:00:00-05:00,0.0009497578117578787,0.00032125933659932215,0.004424778761061843,0.0016666666666667052
2010-12-14 00:00:00-05:00,-0.005788025429357635,0.0008028904054597774,0.0007342143906021725,-0.010537992235163607
2010-12-15 00:00:00-05:00,-0.0019087612139722099,-0.004412354592860046,-0.010271460014673606,-0.01065022421524664
2010-12-16 00:00:00-05:00,0.0022948938611588865,0.005560032232071022,-0.006671608598962209,0.0026440037771482405
2010-12-17 00:00:00-05:00,0.005151688609044136,-0.0036060581777386247,0.002238805970149249,0.008852891316632139
2010-12-20 00:00:00-05:00,0.0007593014426727773,0.0018505710149590016,0.007446016381235987,0.012135922330096971
2010-12-21 00:00:00-05:00,0.001801972685887776,0.00634100799469528,0.0014781966001480296,0.010514665190924255
2010-12-22 00:00:00-05:00,-0.0010413708226829632,0.003350350989151263,-0.0022140221402214832,0.007119386637459035
2010-12-23 00:00:00-05:00,-0.0018006065200909527,-0.0015105740181268201,-0.002218934911242587,-0.004531448250860937
2010-12-27 00:00:00-05:00,0.002943131111744046,0.0005573692172942124,0.002223869532987255,0.0014566642388929019
2010-12-28 00:00:00-05:00,-0.009240817872018248,0.0011141174598121584,0.016634615384615303,0.003272727272727316
2010-12-29 00:00:00-05:00,0.0070339506113863415,0.001033386327504049,0.003281217033226813,0.002899601304820587
2010-12-30 00:00:00-05:00,-0.0005901328273245632,-0.0013499563249423918,-0.00435097897026826,0.0025298156848572173
2010-12-31 00:00:00-05:00,0.0036283271532155936,0.0003180661577606436,0.012381646030589888,-0.0018024513338138481
2011-01-03 00:00:00-05:00,-0.0006621263715473891,0.009936406995230573,-0.0057553956834532904,0.017876489707475463
2011-01-04 00:00:00-05:00,-9.465215333648302e-05,-0.0009445100354190661,-0.02315484804630974,-0.019336526521199104
2011-01-05 00:00:00-05:00,-0.004638394547519797,0.005514850705113039,-0.002962962962962945,0.004884225759768324
2011-01-06 00:00:00-05:00,0.00019020446980499983,-0.0018804356342552175,-0.004457652303120341,-0.009180918091809098
2011-01-07 00:00:00-05:00,0.0031377769325853233,-0.0021194756260303205,-0.0007462686567164534,-0.0005450581395348708
2011-01-10 00:00:00-05:00,0.002559241706161064,-0.0011013215859030367,0.0037341299477220424,-0.00036357025995270575
2011-01-11 00:00:00-05:00,-0.0017018058050486395,0.0035438651756183326,0.0044642857142858094,-0.0023640661938534313
2011-01-12 00:00:00-05:00,-0.0005682356283739365,0.009181511418033361,0.004629629629629539,0.005103900838498099
2011-01-13 00:00:00-05:00,0.003885151141855392,-0.0013996889580093486,-0.009953917050691263,0.002720348204570122
2011-01-14 00:00:00-05:00,-0.0016990749480837453,0.006696776203083843,-0.009867808601750183,0.0063302586362814495
2011-01-18 00:00:00-05:00,-0.0010400907715581997,0.0019337871287128383,0.005641218503196654,0.008806613946800823
2011-01-19 00:00:00-05:00,0.00018930430667296605,-0.009804678452868143,0.0014958863126404154,-0.013183680741136627
2011-01-20 00:00:00-05:00,-0.0035961010693668083,-0.0013254327147980138,-0.01941747572815533,-0.0003610760064993723
2011-01-21 00:00:00-05:00,0.002944249216449757,0.002420173315637486,0.0,0.001806032147372294
2011-01-24 00:00:00-05:00,-0.0007575757575757347,0.005685358255451689,-0.005521706016755612,0.004867495943753353
2011-01-25 00:00:00-05:00,0.0031273692191053915,7.74413381863237e-05,-0.0028719126938541173,0.011302475780408994
2011-01-26 00:00:00-05:00,-0.002768068020784109,0.004104073098962324,0.009216589861751334,0.002128791910590788
2011-01-27 00:00:00-05:00,0.0016389249410271312,0.0026991594046428258,-0.0243531202435312,0.01575500088511239
2011-01-28 00:00:00-05:00,0.0010403858885841277,-0.01792031995077692,0.017940717628705194,-0.017253398396653963
2011-01-31 00:00:00-05:00,-0.0016061980347694682,0.007674837497063214,-0.0034482758620689724,0.013654903351657977
2011-02-01 00:00:00-05:00,-0.005204883126715187,0.016165384316468634,0.006535947712418277,0.00384884534639629
2011-02-02 00:00:00-05:00,-0.0011415525114155667,-0.00214149139579356,-0.0015278838808250317,-0.001219937260369508
2011-02-03 00:00:00-05:00,-0.003619047619047522,0.002376025139879001,0.01224177505738333,0.002966323503751367
2011-02-04 00:00:00-05:00,-0.003536608679028941,0.0028291787735128526,-0.003023431594860182,-0.008350730688935215
2011-02-07 00:00:00-05:00,0.0003836930455636267,0.006328631338162305,0.00037907505686129994,0.010526315789473717
2011-02-08 00:00:00-05:00,-0.002876594112570796,0.004621912410971429,0.01098901098901095,0.004166666666666652
2011-02-09 00:00:00-05:00,0.0019232618521012323,-0.002413455011690102,-0.0007496251874062887,0.001556016597510368
2011-02-10 00:00:00-05:00,-0.0028793550244744504,0.0004536176003628878,-0.0012303075768942406,0.0034524426031417033
2011-02-11 00:00:00-05:00,0.003946481855809036,0.005894355021537123,-0.004777070063694211,0.006246344400481663
2011-02-14 00:00:00-05:00,0.0003835091083412845,0.0024040267447975605,0.005094339622641497,0.00028892296698246334
2011-02-15 00:00:00-05:00,0.0012459267778415217,-0.003147717904519398,0.007321193917777302,-0.004101862929413724
2011-02-16 00:00:00-05:00,0.00019144251938341128,0.006164950003759273,0.00186358553857624,0.0034322979234597817
2011-02-17 00:00:00-05:00,0.002296870513924798,0.0032877531196293663,0.005952380952380931,0.0008551393877203051
2011-02-18 00:00:00-05:00,-0.0003819344982336492,0.0017874432114395322,0.002958579881656931,0.003588516746411363
2011-02-22 00:00:00-05:00,0.003629764065335772,-0.01992416920675022,0.00700589970501464,-0.009024348714455899
